name,category,lat,lon,brand,address,website,phone
Sengkang Polyclinic,clinic,1.3926934,103.8941112,,Sengkang Square,,
Outram Polyclinic,clinic,1.2799045,103.8381683,,Second Hospital Avenue,https://polyclinic.singhealth.com.sg/AboutUs/OurPolyclinics/Pages/SHP-Outram.aspx,+65 6643 6969
Marine Parade Polyclinic,clinic,1.3025477,103.9077648,,Marine Parade Central,https://polyclinic.singhealth.com.sg/AboutUs/OurPolyclinics/Pages/SHP-MarineParade.aspx#,+65 6643 6969
Bedok Polyclinic,clinic,1.3269378,103.9316066,,Bedok North Street 1,https://polyclinic.singhealth.com.sg/AboutUs/OurPolyclinics/Pages/SHP-Bedok.aspx,+65 6643 6969
Pasir Ris Polyclinic,clinic,1.3686674,103.9592631,,Pasir Ris Drive 4,https://polyclinic.singhealth.com.sg/AboutUs/OurPolyclinics/Pages/SHP-.aspx,+65 6643 6969
SATA CommHealth Uttamram Medical Centre,clinic,1.3277349,103.9213776,,Chai Chee Street,https://www.sata.com.sg/,+65 6244 6688
Sata,clinic,1.3278759,103.9211969,,,,
OneDoctors,clinic,1.3710916,103.848313,,,,
OneDoctors,clinic,1.4172444,103.8345881,,,,
OneDoctors,clinic,1.3499221,103.8730547,,,,
Osteopathic Healthcare Pte Ltd,clinic,1.3024631,103.7930402,,Biomedical Grove,,
The Rehab Practice (Paediatric) Pte Ltd,clinic,1.3023049,103.7930458,,Biomedical Grove,,
"Ear, Nose & Throat Specialist Clinic",clinic,1.3023032,103.7932408,,,,
Lifecare Medical Centre,clinic,1.3290692,103.8869128,,,,
Ang Liang Medical Hall,clinic,1.3288707,103.8871937,,,,
Cecilia Family Clinic & Surgery,clinic,1.3620169,103.952748,,,,
Choong's Clinic,clinic,1.3619964,103.9534674,,,,
,clinic,1.3521815,103.954022,,,,
Frankel Clinic,clinic,1.3119584,103.922067,,East Coast Road,,
Liang Clinic,clinic,1.3119289,103.9219988,,East Coast Road,,
Family Clinic,clinic,1.3132177,103.9293425,,Upper East Coast Road,,
Thomson Women's Centre,clinic,1.3062498,103.9056588,,East Coast Road,,
Bedok Family Clinic & Surgery,clinic,1.3275353,103.9347244,,Bedok North Street 1,,
Lim Clinic,clinic,1.3181617,103.9071018,,Changi Road,,
M. Lam Clinic,clinic,1.3149067,103.8905887,,Geylang Road,,
Xinhuo Medical Clinic,clinic,1.31277,103.8794922,,Geylang Road,,
Geylang Serai Clinic,clinic,1.3167538,103.9016327,,Changi Road,,
ECM X-Ray Centre PTE LTD,clinic,1.3150317,103.8829388,,Sims Avenue,,
ECM Clinic & Surgery PTE LTD,clinic,1.3149644,103.8826951,,Sims Avenue,,
Crescent Clinic & Surgery,clinic,1.3213131,103.9027504,,Eunos Crescent,,
Central Clinic,clinic,1.319258,103.8866552,,Geylang East Central,,
Central 24-Hr Clinic (Hougang),clinic,1.3725723,103.8856713,,Hougang Avenue 4,,
Siglap Clinic,clinic,1.309495,103.9119627,,Telok Kurau Court,,
Wong Pang Ong Bone Injury Specialists,clinic,1.310527,103.9016923,,Joo Chiat Road,,
EstheClinic Paris,clinic,1.3070444,103.9040604,,Joo Chiat Road,,
Raffles Medical,clinic,1.3784112,103.7638595,,,,
Lee Clinic,clinic,1.3065917,103.9047052,,Joo Chiat Road,,
Rhema,clinic,1.3544962,103.8791387,,Upper Serangoon Road,,
FHC Dialysis Centre Pte Ltd,clinic,1.3620171,103.8856749,,Simon Road,,
Redwood Clinic And Surgery,clinic,1.289268,103.8171078,,,,
Nam Ann Siang Theon Medical Centre,clinic,1.3586125,103.8875676,,Hougang Street 21,,
Medicane Associates,clinic,1.3698791,103.8703705,,Serangoon North Avenue 1,,
TCM Clinic,clinic,1.3291615,103.8733882,,MacPherson Road,,
Kong Kian Clinic,clinic,1.3401269,103.8850836,,Jalan Bunga Rampai,,
Sincere,clinic,1.4369623,103.8374022,,Yishun Street 22,,
Kensing On Family Clinic,clinic,1.3653193,103.8661529,,Kensington Park Road,,
Mediline Wei Min Clinic,clinic,1.3651898,103.8661498,,Kensington Park Road,,
K.N. Lau Clinic,clinic,1.3647782,103.8660983,,Kensington Park Road,,
,clinic,1.2846024,103.8496846,,Phillip Street,,
Singapore Buddhist Free Clinic,clinic,1.3154371,103.881475,,Ajunied Road,,
Medical Clinic,clinic,1.2938773,103.8513543,,Stamford Road,,
Pinnacle Family Clinic,clinic,1.294114,103.8422718,,River Valley Road,,
Tang Family Clinic,clinic,1.3404956,103.7731508,,Jalan Jurong Kechil,,
Cheong Medical Clinic,clinic,1.340453,103.7733342,,Jalan Jurong Kechil,,
New World Clinic & Surgery,clinic,1.3072509,103.8578754,,,,
DSC,clinic,1.3066129,103.8569422,,Kelantan Lane,,
Family Health Clinic & Surgery,clinic,1.3258868,103.8422296,,Thomson Road,,
Tiong Bahru Medical Centre,clinic,1.2850445,103.8293517,,Kim Tian Road,,
Ong's Clinic,clinic,1.3022975,103.8527701,,Bencoolen Street,,
Singapura Clinic,clinic,1.2987062,103.8499262,,Bencoolen Street,,
N B Tham Clinic,clinic,1.3225422,103.8533853,,Whampoa Drive,,
No Ai TCM Clinic,clinic,1.324766,103.8578117,,Whampoa Drive,,
Suwen TCM Clinic Pte Ltd,clinic,1.3524338,103.8349052,,Upper Thomson Road,,
Raffles Medicial,clinic,1.3579669,103.9864825,,,,
Sterling Clinic & Surgery,clinic,1.3506468,103.8762537,,Lorong Lew Lian,,
Chiew Clinic,clinic,1.3620335,103.885093,,,,
PanHealth Family Clinic,clinic,1.4112949,103.9005482,,,,
Kerbal-Basic TCM Clinic,clinic,1.2893739,103.8277584,,Havelock Road,,
Great Wall Acupuncture Clinic,clinic,1.2891531,103.8162302,,Redhill Road,,
A Medical Clinic,clinic,1.2774422,103.8402447,,1 Everton Park,https://amedicalclinic.sg/,+65 6226 2066
Mount Pleasant Animal Clinic,clinic,1.3063613,103.905867,,,,
Katong Baby & Child Clinic,clinic,1.30727,103.906717,,,,
Wisteria Xuan TCM,clinic,1.3072951,103.9067488,,,,
Kai Clinic,clinic,1.3076062,103.9071726,,,,
中国中医 Chinese medical centre,clinic,1.3004442,103.8538867,,,,
Central 24-hr clinic,clinic,1.3134311,103.7655012,,,,
Dr Steven Ang Asthetic & Family Clinic,clinic,1.2890851,103.8161898,,Redhill Road,,
Ong's Clinic,clinic,1.3027238,103.8524129,,,,
United Health Family Clinic & Surgery,clinic,1.4176987,103.8371166,,Yishun Street 61,,
Roy's Family Clinic,clinic,1.4171724,103.8345517,,"Ang Mo Kio Avenue 10, #01-1974",,
Sunbeam,clinic,1.3937889,103.8891266,,,,
Medivene Clinic & Surgery,clinic,1.3967943,103.8893207,,,,
ProHealth Medical Group @ Fernvale LRT,clinic,1.3923951,103.8763298,,,,
Family Medical Clinic,clinic,1.3476746,103.7570747,,,,
Lifeline Neighbourhood Medical Clinic,clinic,1.3480298,103.7571578,,,,
First Light Clinic,clinic,1.3487394,103.7577652,,,,
Excelsior Clinic,clinic,1.3469753,103.7571639,,,,
Goh Clinic,clinic,1.347154,103.7573318,,,,
S.T. Medical Clinic,clinic,1.3330877,103.9260241,,,,
Northeast Medical Group,clinic,1.3331026,103.9260888,,,,
KHO Clinic,clinic,1.3323682,103.9242805,,,,
YSL Bedok Clinic & Surgery,clinic,1.3317292,103.9258356,,Bedok North Street 3,,62452684
Wong Clinic,clinic,1.3312289,103.9252282,,,,
The Balmoral Clinic,clinic,1.302259,103.8766971,,,,
Tampines Family Medicine Clinic,clinic,1.353639,103.9396652,,,,
G-Clinic,clinic,1.2921193,103.8597838,,,,
Phoon Clinic and Surgery,clinic,1.3321484,103.9145848,,Bedok Reservoir Road,,
ProHealth,clinic,1.3826272,103.8937854,,,,
K. L. Tay Clinic & Surgery,clinic,1.332343,103.9146544,,Bedok Reservoir Road,,
Healthplus Clinic & Surgery,clinic,1.3331379,103.9156241,,Bedok Reservoir Road,,
Eastern Medical Centre,clinic,1.3332007,103.9156911,,Bedok Reservoir Road,,64487628
Pam Island Clinic & Surgery,clinic,1.332581,103.9143056,,Bedok Reservoir Road,,
The Olive Tree Family Clinic & Surgery,clinic,1.3871009,103.8904646,,,,
Tan & Koh Clinic & Surgery,clinic,1.3313435,103.9097041,,Bedok Reservoir Road,,
Island Family Clinic (Anchorvale),clinic,1.3990265,103.88987,,,,
Wong Family Clinic & Surgery,clinic,1.3314315,103.9089331,,Bedok Reservoir Road,,68461613
Tay Clinic,clinic,1.3314484,103.9088054,,Bedok Reservoir Road,,67419936
Bok Family Clinic,clinic,1.3314614,103.9086289,,Bedok Reservoir Road,,7478200
Acumed Medical Group,clinic,1.389895,103.8927828,,,,
My Family Clinic (Hougang Central),clinic,1.3707002,103.8947294,,,,
Radiant Medical & Aesthetic Centre,clinic,1.3716219,103.8934328,,,,
Hougang Central Medical Clinic,clinic,1.3708928,103.8947603,,,,
Kang Clinic,clinic,1.395961,103.8728442,,Jalan Kayu,,
Killiney Medical Clinic,clinic,1.298913,103.8395433,,Killiney Road,,
Shenton Medical Group,clinic,1.3787067,103.9422417,,,,
Healthway Medical Clinic,clinic,1.3787806,103.9422286,,,,
Healthway Medical Clinic,clinic,1.3788465,103.9421928,,,,
Elias Family Clinic & Surgery,clinic,1.3788978,103.9421381,,,,
Kidneycare Dialysis Centre,clinic,1.3785468,103.9418327,,,,
K.B. Tan Clinic & Laser Surgery,clinic,1.3787575,103.9417791,,,,
AcuHealth TCM Medical Centre,clinic,1.3591034,103.9551593,,,,
Lotus Medical Clinic,clinic,1.3393816,103.885769,,,,
Medora Clinic & Surgery,clinic,1.3381568,103.8866274,,,,
Tai Seng Clinic,clinic,1.3387994,103.8862108,,Jalan Bunga Rampai,,
T.S. Wong Clinic & Surgery,clinic,1.4342345,103.7755304,,Woodlands Street 13,,
Ayush Ayurvedic,clinic,1.3100182,103.8522813,,,,
Ayush Ayurvedic,clinic,1.3101296,103.8523607,,,,
Kerala Ayuverda Clinic,clinic,1.3084318,103.8514547,,,,
Boon Keng Clinic & Surgery,clinic,1.3141948,103.8708068,,,,
New Town Clinic,clinic,1.3143585,103.8712262,,,,
LifeCare Medical Centre,clinic,1.3290079,103.8869933,,,,
Chin Choo Clinic,clinic,1.3292358,103.8862708,,,,
MacPherson Medical Clinic,clinic,1.3276628,103.8852316,,,,
OneCare Medical Tiong Bahru,clinic,1.286088,103.8287953,,Boon Tiong Road #01-08,,
Chua and Partners Family Clinic,clinic,1.2857232,103.8267238,,,,
The Clinic @ Tai Seng,clinic,1.3363319,103.8885834,,,,
Balance&Cleanse,clinic,1.3110371,103.8736811,,,http://balancecleanse.com,
Island Family Clinic (Sengkang),clinic,1.386049,103.8932903,,,,
Drs Lim & Chan Clinic,clinic,1.3506791,103.8757569,,,,65 6280 3009
AE Medical Clinic,clinic,1.3982332,103.8779152,,,,
Family Medicine Clinic Chinatown,clinic,1.284741,103.8447974,,,,
Fresenius Medical Care,clinic,1.3491163,103.7296144,,,,
Eastern Clinic & Surgery,clinic,1.347685,103.730558,,,,
Parkway Cancer Centre,clinic,1.3050898,103.8353997,,"3 Mount Elizabeth, Mount Elizabeth Hospital Level 2",https://www.parkwaycancercentre.com,67370733
Raffles Medical,clinic,1.2648169,103.820005,,,,
Northeast Medical Group,clinic,1.392089,103.8955251,,,,
Minmed Clinic,clinic,1.4064469,103.901691,,,,
Thomson Paediatric Centre,clinic,1.4060276,103.9021658,,,,
Raffles Medical,clinic,1.4060373,103.9022079,,,,
One Doctors Family Clinic,clinic,1.4065447,103.9017623,,,,
OneCare Clinic,clinic,1.3588217,103.7519793,,,,
Joy Family Clinic,clinic,1.3371143,103.9199923,,Bedok Reservoir Road,,64422483
Procross Medical Center,clinic,1.3318806,103.868308,,,,
Hyperbaric Medical Services,clinic,1.3247768,103.8422485,,Thomson Road,,
Hock Leong Ann TCM Clinic,clinic,1.4023201,103.891881,,Sumang Lane,,
Calrose Medical,clinic,1.4022893,103.8920392,,Sumang Lane,,
One Care Clinic,clinic,1.3239358,103.9298243,,,,
Dover Medical Centre,clinic,1.298947,103.7876362,,,,
Eu Yan Sang TCM Clinic,clinic,1.3916316,103.8949411,,,,
The Kid's Clinic,clinic,1.391592,103.8949847,,,,
Parkway Shenton Medical Group,clinic,1.2807119,103.8497728,,,,
International Medical Clinic,clinic,1.304979,103.9045224,,,https://www.imc-healthcare.com/,+65 6342 4440
Wahweda's,clinic,1.3069464,103.8515389,,,,
CCK Family Clinic,clinic,1.3846616,103.7431167,,,,
The Premier Medical Clinic,clinic,1.3847135,103.7431023,,,,
Bukit Timah Nam Sang Clinic,clinic,1.3404871,103.7732416,,Jalan Jurong Kechil,,
Low & Lee Clinic & Surgery,clinic,1.3272878,103.919211,,,,
FamilyCare Clinic and Surgery,clinic,1.3271135,103.918916,,,,
Chai Chee Clinic & Surgery,clinic,1.3232712,103.9242809,,,,
HealthLine Family Clinic,clinic,1.3234738,103.9239452,,,,
Sefton Medical Centre Pte. Ltd.,clinic,1.3074333,103.7936658,,,,
May Medical Clinic & Surgery,clinic,1.307553,103.7934864,,,,
Healthway Medical Clinic,clinic,1.3076768,103.7933325,,,,
Family Health Clinic,clinic,1.3074786,103.7928071,,,,
SATA CommHealth Potong Pasir Medical Centre,clinic,1.3290723,103.8700587,,Siang Kuang Avenue,https://www.sata.com.sg/,
Dover Clinic and Surgery,clinic,1.3046845,103.7816359,,Dover Crescent,,
Carelink,clinic,1.3259807,103.8501156,,Balestier Road,,
Tanamera Clinic,clinic,1.3197728,103.9439983,,,,
Temasek Clinic & Surgery,clinic,1.3198308,103.9439857,,,,
Shim Clinic,clinic,1.3201119,103.9445402,,,,
Faith Clinic,clinic,1.3372021,103.921278,,Bedok Reservoir Road,https://www.faithmedical.sg/,+65 67020820
Shenton Medical Clinic,clinic,1.3374415,103.9219446,,,,
Central Clinic Surgery,clinic,1.3024141,103.9072184,,,,
Jinmin Clinic,clinic,1.3187727,103.9118537,,Changi Road,,
Mandarin Central & Dental Centre,clinic,1.3404756,103.7738881,,Jalan Jurong Kechil,,
Unihealth Toa Payoh,clinic,1.3335469,103.8493034,Unihealth,,,
Raffles Medical,clinic,1.333908,103.8495277,,,,
Shenton Medical Group,clinic,1.3829151,103.8933453,,,,
,clinic,1.3716615,103.8940304,,,,
Toh Yi Medical Clinic,clinic,1.3399856,103.773216,,Toh Yi Drive,,
Chen Family Clinic,clinic,1.3702358,103.8727691,,,,
LiveWell Medical,clinic,1.3267486,103.8465576,,Ah Hood Road,,+65 6909 9888
Minmed Clinic (Sengkang),clinic,1.391998,103.8949214,,,,
Healthmark Family Clinic (Compassvale),clinic,1.3950646,103.8958158,,,,
Dr. W Family Clinic,clinic,1.3164845,103.8055343,,Empress Road,,
Yap Medicare Clinic & Surgery,clinic,1.3165799,103.805643,,Empress Road,,
Garden Clinic,clinic,1.3536722,103.8677737,,Serangoon Avenue 2,,
Liu TCM clinic,clinic,1.2825111,103.8255999,,Jalan Membina,,
Health First Family Clinic,clinic,1.2825856,103.825695,,Jalan Membina,,+65 6793 2833
Chungkiaw Clinic,clinic,1.3404871,103.7737993,,Jalan Jurong Kechil,,6466 2255
Marti Derm La Formula,clinic,1.3043747,103.8598693,,Jalan Klapa,,
,clinic,1.3453694,103.7188357,,,,
Lakeside Family Medicine Clinic,clinic,1.3454017,103.7188383,,,,
VIVA Medical Group,clinic,1.35752,103.9402818,,,,
Evangel Medical Clinic,clinic,1.3275529,103.924687,,,,
DA Clinic@Anchorvale,clinic,1.3933433,103.8870606,,,,
,clinic,1.264975,103.8190429,,,,
Healthway Medical,clinic,1.3854786,103.9015722,,,,
Rivervale Family Clinic & Surgery,clinic,1.3858049,103.9020987,,,,
SBCC Baby & Child Clinic (Rivervale Plaza),clinic,1.3854882,103.9016163,,,,
Lifeline Medical Group,clinic,1.385525,103.9015933,,,,
Sengkang Free Clinic,clinic,1.384419,103.9007925,,,,
Mutual Healthcare Medical Clinic,clinic,1.3857092,103.8972981,,,,
HeartlandHealth,clinic,1.2868999,103.8187598,,,,
Providence Clinic @ Redhill,clinic,1.2869037,103.8188227,,,,
SBCC Baby & Child Clinic,clinic,1.2863998,103.8279775,,,,
Yim Clinic,clinic,1.2860934,103.8286335,,,,
SOG Clinic for Children,clinic,1.286071,103.8289334,,,,
Thomson Women's Clinic,clinic,1.2856271,103.8268548,,,,
The iClinic,clinic,1.2855801,103.8268785,,,,
,clinic,1.3598346,103.9317795,,,,
OneCare Clinic Punggol Plaza,clinic,1.394315,103.9129975,,,,
My Family Clinic (Punggol Central),clinic,1.403537,103.9059814,,,,
Pinnacle Family Clinic (Compassvale),clinic,1.3976235,103.8969541,,,,
My Family Clinic (Anchorvale),clinic,1.394781,103.8880698,,,,
Neoh & Ong Medical Clinic,clinic,1.3202162,103.9033134,,,,
Kirin Clinic & Surgery,clinic,1.3211592,103.9032353,,,,
EC Family Clinic,clinic,1.3198925,103.9038068,,,,
Meden Clinic & Surgery,clinic,1.2887871,103.8146922,,,,
Eye Care Clinic Bishan,clinic,1.3483241,103.8495404,,,,
T P Sim Family Clinic & Surgery,clinic,1.3484422,103.8495658,,,,
Prudence Family Clinic,clinic,1.3494771,103.8499904,,,,
DA Clinic @ Bishan,clinic,1.3483221,103.8493688,,,,
Astra Women's Specialist Centre,clinic,1.3485176,103.8485376,,,,
Lifeline Bishan Medical Clinic,clinic,1.3482867,103.8495324,,,,
The Hearing Room,clinic,1.2914685,103.85115,,,,
Adelphi Psych Medicine Clinic,clinic,1.2912098,103.851479,,,,
Q&M Medical Clinic (Buangkok Mrt),clinic,1.3833115,103.8929226,,,,
Everhealth Medical Centre,clinic,1.3777985,103.8915104,,,,
Neighbourhood Medical Clinic,clinic,1.3733522,103.8861324,,,,
Hougang Specialist Eye Centre,clinic,1.3721376,103.8864401,,,,
Pow Family Clinic & Surgery,clinic,1.3701565,103.8839615,,,,
Raffles Medical,clinic,1.3724889,103.8474507,,,,
Kids First Clinic,clinic,1.3723101,103.8474714,,,,
Life Family Clinic,clinic,1.3714569,103.8467562,,,,
Parkway Shenton Medical Group,clinic,1.4029763,103.9128899,,,,
Shinagawa Eye Centre,clinic,1.3047759,103.8302232,,,,
Olive Tree,clinic,1.3061,103.8288073,,,,
Goh Clinic & Surgery,clinic,1.3586058,103.8847533,,,,
Eastern Hougang Eye Specialist,clinic,1.3578976,103.8835025,,,,
Lim Country Clinic,clinic,1.3587045,103.8867242,,,,
Healthcare Medical @ Kovan,clinic,1.3587141,103.886752,,,,
Dr Chan Clinic,clinic,1.3593415,103.8880613,,,,
Gynae Health Clinic For Women,clinic,1.3593376,103.887589,,,,
Intemedical Kovan,clinic,1.3593732,103.8865521,,,,
True Medical Clinic,clinic,1.3174634,103.892736,,,,
Chiro Time,clinic,1.3146784,103.8948875,,,,
Parkway Shenton Medical Group,clinic,1.3191671,103.8946109,,,,
Kin Teck Kong,clinic,1.3187616,103.8943566,,,,
Etern Medical Clinic (Sengkang),clinic,1.3915161,103.8762046,,,,
Island Family Clinic,clinic,1.3920201,103.8716567,,,,
Xing Juan TCM Clinic,clinic,1.3918621,103.8713239,,,,
Holistic Care Family Clinic,clinic,1.3918582,103.8715542,,,,
Doctors Inc Medical Group,clinic,1.3335559,103.8496979,,,,
DA Clinic @ Anson,clinic,1.2761097,103.8458445,,,,
Fullerton Healthcare,clinic,1.2794961,103.8535499,,,,
,clinic,1.3719474,103.9467099,,,,
Pinnacle Family Clinic (Pasir Ris),clinic,1.3731372,103.9455918,,,,
Minmed Clinic,clinic,1.3725843,103.9494868,,Pasir Ris Central Street 3,https://minmed.sg/,+65 6585 0123
Raffles Medical,clinic,1.3725809,103.9496416,,Pasir Ris Central Street 3,,+65 6585 1279
My Family Clinic (Segar),clinic,1.3885085,103.771415,,,,
True care Clinic,clinic,1.3144784,103.8541035,,,,
Kang Clinic,clinic,1.3739658,103.85489,,,,
Atrio Family Clinic,clinic,1.3738781,103.8549642,,,,
Gainhealth Clinic and Homecare,clinic,1.3733471,103.8546373,,,,
Immanuel Dialysis Centre,clinic,1.3722759,103.8553457,,,,
Chua Medico Clinic,clinic,1.3723173,103.8550581,,,,
Vital Care,clinic,1.3725978,103.8540144,,,,
Shenton Family Medical Clinic,clinic,1.2760068,103.8411354,,,,
Clementi Family Healthpoint Clinic & Surgery,clinic,1.3210349,103.7669293,,Clementi Avenue 4,https://www.healthhub.sg/directory/14/57236/clementi-family-healthpoint-clinic-n-surgery,+65 6774 4373
Joash Family Clinic and Surgery,clinic,1.3630401,103.8885051,,Upper Serangoon Rd,,
Cornerstone Medical,clinic,1.3084808,103.7847028,,,,+6562620018
DA Clinic @ Taman Jurong,clinic,1.3266952,103.7232314,,,,
W Y Teh Family Clinic And Surgery,clinic,1.3588127,103.9548835,,,,
Etern Medical Clinic,clinic,1.4042887,103.9017647,,,,
My Family Clinic (Clementi 325),clinic,1.3152781,103.7668558,,Clementi Avenue 5,,
Frontier Family Medicine Clinic,clinic,1.3142867,103.7651961,,Commonwealth Avenue West,,+65 6778 8362
Healthway Medical,clinic,1.3626523,103.8507325,,,,
Pinnacle Family Clinic,clinic,1.4167142,103.9017682,,,,
L&L Family Medicine Clinic,clinic,1.3529096,103.8362889,,,,
Y. C. Goh Clinic & Surgery for Women,clinic,1.3549123,103.8308474,,,,
KidsNexus Paediatric Centee,clinic,1.3550521,103.8306268,,,,
SpecialKids Child Health & Development Clinic,clinic,1.3550308,103.830618,,,,
Chung Hwa Medical Institution,clinic,1.440225,103.8021087,,,,
Elyon Family Clinic & Surgery,clinic,1.2739437,103.8085649,,Telok Blangah Street 32,,
NKF Dialysis Centre,clinic,1.2825995,103.8234166,,,,
Ma Kuang TCM Medical Centre,clinic,1.3687218,103.8555019,,,,
中华医院,clinic,1.3322949,103.8513408,,Lorong 4 Toa Payoh,https://www.zhonghuayiyuan.com/,+65 62513304
Blessed health tcm,clinic,1.3708296,103.8570836,,,,64524272
T Medical Clinic (City Gate),clinic,1.3019416,103.8623493,,,,
GoodDoctors Medical Clinic,clinic,1.3167036,103.8977913,,,,
Ban Kok Clinic & Surgery,clinic,1.3316487,103.8675772,,Potong Pasir Avenue 1,,
Chan Family Clinic,clinic,1.3035333,103.9005451,,,,
Insync Medical,clinic,1.3048875,103.9040216,,,,
AMK Specialist Centre,clinic,1.3723779,103.8471951,,Ang Mo Kio Avenue 8,,
Raffles Medical,clinic,1.3349022,103.962505,,,,
Northeast Medical Group,clinic,1.3427788,103.9536387,,,,
Slikroutes @ Sengkang Clinic,clinic,1.3825278,103.8911956,,,,
Mutual Healthcare Medical Clinic,clinic,1.3914507,103.8901654,,,,
Kidslink Children's Clinic,clinic,1.3898718,103.8985765,,,,
Kenneth Tan Medical Clinic,clinic,1.3999411,103.9191908,,,,
Hougang Family Medicine Clinic,clinic,1.3751487,103.8828083,,,,
Shenton Medical Group,clinic,1.3356811,103.9629861,,,,
Trinity Medical (Punggol),clinic,1.4021598,103.9013551,,,,
,clinic,1.302075,103.7980969,,Tanglin Halt Road,,64756116
24 Hr Clinic,clinic,1.3728753,103.8538831,,,,
Zenith Medical Clinic,clinic,1.4051418,103.8976301,,,,
Etern Medical Clinic (Punggol Sumang LRT),clinic,1.4083592,103.8990035,,,,
Family Healthcare Clinic & Surgery,clinic,1.3737179,103.8908413,,,,
College Clinic,clinic,1.3024931,103.77589,,,,
PanHealth Family Clinic (Hougang),clinic,1.3751009,103.8821732,,,,
Elissa Medical Clinic,clinic,1.3757868,103.8796958,,,,
Crawfurd Medical,clinic,1.2957062,103.8585405,,,,
,clinic,1.3779293,103.9556067,,,,
Health way Medical,clinic,1.3834403,103.8971415,,,,
Chiropractic First,clinic,1.3727302,103.8936732,,,,
Raffles Medical,clinic,1.3713249,103.8939429,,,,
Grace (SL) Medical Centre,clinic,1.3718288,103.8935956,,,,
The Clinic @ Campus,clinic,1.2963561,103.8500685,,Stamford Road,,
Healthway Medical,clinic,1.3688314,103.8565262,,,,
Family Clinic,clinic,1.3209029,103.9047441,,,,
Bethesda Medical,clinic,1.3338071,103.8875457,,MacPherson Road,https://www.bethesdamedical.com.sg/,+65 69046678
Frontier Family Medicine Clinic,clinic,1.3337201,103.8874844,,MacPherson Road,https://frontierhealthcare.com.sg/,+65 69500592
Healthway Medical,clinic,1.4531482,103.8165964,,,,
Temasek Medical Centre,clinic,1.4529786,103.8169122,,,,
Sembawang Polyclinic,clinic,1.4482078,103.8228151,,21 Canberra Link,,
Compassvale 297A Medical Clinic,clinic,1.3950826,103.900574,,,,
Parkway MediCentre,clinic,1.3386411,103.8720397,,,,
OEI & KOH,clinic,1.3357219,103.8566962,,,,
National Health Group Diagnostics X-Ray,clinic,1.3345021,103.858959,,,,
Oaklife Family Clinic,clinic,1.3267682,103.8424618,,Balestier Road,,
Intemedical Teck Ghee,clinic,1.3641077,103.84861,,,,
Parklane Medical Centre,clinic,1.3006418,103.8493335,,,,
Proventia Medical & Dental,clinic,1.3166845,103.7827841,,,,
Pulse TCM Clinic,clinic,1.3165315,103.7827039,,,,
Q&M Dental Center (Balestier),clinic,1.3263295,103.8427332,,Balestier Road,,
Medlife Clinic & Surgery,clinic,1.3741186,103.8870422,,,,
MyCLINQ,clinic,1.3740616,103.8938451,,,,
Eiddwen Family Medicine Clinic,clinic,1.3096209,103.884491,,Cassia Crescent #01-80,,
Ally Health,clinic,1.3150925,103.7668554,,Clementi Avenue 5,,
The Neptune Clinic,clinic,1.313717,103.7670566,,Clementi Avenue 2,,
Canterbury Family Clinic & Surgery,clinic,1.3140032,103.7670575,,Clementi Avenue 2,,
Kinsway Medical Clinic(Beauty World),clinic,1.3418231,103.7760786,,,,
Prohealth Medical Group,clinic,1.3560251,103.7405206,Prohealth Medical Group,,,
K C Yeo Surgery & Clinic for Women,clinic,1.3254703,103.8423768,,Thomson Road,,
